pair_id,candidate_type,sequence_proxy_score,sequence_proxy_model_score,hamming_distance,edit_distance,sequence_identity,kmer3_jaccard,kmer4_jaccard,rc_kmer4_jaccard,gc_similarity
1B3T_2_1,double_mut,0.852359477124183,0.7303333333333333,2,2,0.8888888888888888,0.8235294117647058,0.7647058823529411,0.8,0.8888888888888888
1B3T_2_1,double_mut,0.8496797385620916,0.7553333333333333,2,2,0.8888888888888888,0.7777777777777778,0.7647058823529411,0.8,0.9444444444444444
1B3T_2_1,double_mut,0.852359477124183,0.7303333333333333,2,2,0.8888888888888888,0.8235294117647058,0.7647058823529411,0.8,0.8888888888888888
1B3T_2_1,double_mut,0.8496797385620916,0.7553333333333333,2,2,0.8888888888888888,0.7777777777777778,0.7647058823529411,0.8,0.9444444444444444
1B3T_2_1,double_mut,0.8552352941176471,0.7303333333333333,2,2,0.8888888888888888,0.7777777777777778,0.7647058823529411,0.8,1.0
1B3T_2_1,double_mut,0.8496797385620916,0.7553333333333333,2,2,0.8888888888888888,0.7777777777777778,0.7647058823529411,0.8,0.9444444444444444
1B3T_2_1,double_mut,0.844124183006536,0.7303333333333333,2,2,0.8888888888888888,0.7777777777777778,0.7647058823529411,0.8,0.8888888888888888
1B3T_2_1,double_mut,0.8496797385620916,0.7553333333333333,2,2,0.8888888888888888,0.7777777777777778,0.7647058823529411,0.8,0.9444444444444444
1B3T_2_1,double_mut,0.844124183006536,0.7303333333333333,2,2,0.8888888888888888,0.7777777777777778,0.7647058823529411,0.8,0.8888888888888888
1B3T_2_1,double_mut,0.8243434343434344,0.7536666666666666,2,2,0.8888888888888888,0.7777777777777778,0.6666666666666666,0.7272727272727273,0.8888888888888888
1B3T_2_1,double_mut,0.8393856209150328,0.7553333333333333,2,2,0.8888888888888888,0.7647058823529411,0.7058823529411765,0.8,0.9444444444444444
1B3T_2_1,double_mut,0.8075013290802765,0.7536666666666666,2,2,0.8888888888888888,0.6842105263157895,0.6666666666666666,0.7272727272727273,0.8888888888888888
1B3T_2_1,double_mut,0.8298989898989899,0.7786666666666666,2,2,0.8888888888888888,0.7777777777777778,0.6666666666666666,0.7272727272727273,0.9444444444444444
1B3T_2_1,double_mut,0.8254545454545456,0.7536666666666666,2,2,0.8888888888888888,0.7222222222222222,0.6666666666666666,0.7272727272727273,1.0
1B3T_2_1,double_mut,0.813056884635832,0.7786666666666666,2,2,0.8888888888888888,0.6842105263157895,0.6666666666666666,0.7272727272727273,0.9444444444444444
1B3T_2_1,double_mut,0.8243434343434344,0.7536666666666666,2,2,0.8888888888888888,0.7777777777777778,0.6666666666666666,0.7272727272727273,0.8888888888888888
1B3T_2_1,double_mut,0.8275460487225194,0.7786666666666666,2,2,0.8888888888888888,0.7647058823529411,0.6666666666666666,0.7272727272727273,0.9444444444444444
1B3T_2_1,double_mut,0.8075013290802765,0.7536666666666666,2,2,0.8888888888888888,0.6842105263157895,0.6666666666666666,0.7272727272727273,0.8888888888888888
1B3T_2_1,double_mut,0.7918421052631579,0.7769999999999999,2,2,0.8888888888888888,0.631578947368421,0.5789473684210527,0.6666666666666666,1.0
1B3T_2_1,double_mut,0.8354545454545454,0.7536666666666666,2,2,0.8888888888888888,0.7777777777777778,0.6666666666666666,0.7272727272727273,1.0
1B3T_2_1,double_mut,0.7806023391812866,0.8019999999999999,2,2,0.8888888888888888,0.6,0.5789473684210527,0.6666666666666666,0.9444444444444444
1B3T_2_1,double_mut,0.7862865497076024,0.7519999999999999,2,2,0.8888888888888888,0.631578947368421,0.5789473684210527,0.6666666666666666,0.9444444444444444
1B3T_2_1,double_mut,0.8298989898989899,0.7286666666666666,2,2,0.8888888888888888,0.7777777777777778,0.6666666666666666,0.7272727272727273,0.9444444444444444
