protein_id,left_index,right_index,left_score,right_score,difficulty
DBP35,4409,2811,-0.131905,0.06448000000000001,easy
DBP35,3685,8101,-0.17264000000000002,0.05443,easy
DBP35,2111,1881,-0.15277000000000002,0.0675,easy
DBP35,3222,2369,-0.13821,0.038195,easy
DBP35,1640,6723,0.13333,-0.14514,easy
DBP35,4168,4971,0.0014949999999999998,-0.21618500000000002,easy
DBP35,5632,216,0.154155,-0.15181,easy
DBP35,3133,4313,0.1777,-0.06564,easy
DBP35,2484,5643,-0.162445,0.0135,easy
DBP35,2480,3597,-0.05994,0.14432,easy
DBP35,2209,4267,-0.121745,0.05043,easy
DBP35,7545,4066,0.255595,-0.0793,easy
DBP35,2367,5361,0.14716,-0.14144,easy
DBP35,1912,6301,0.08734,-0.055725,easy
DBP35,5984,4114,0.052965,-0.17196,easy
DBP35,8103,4244,0.12246499999999999,-0.1064,easy
DBP35,2673,3917,-0.07956,0.183445,easy
DBP35,5340,6705,-0.09958,0.16257,easy
DBP35,7764,825,0.089395,-0.192365,easy
DBP35,4056,6805,0.107185,-0.11296999999999999,easy
DBP35,2362,289,-0.201845,-0.0010100000000000005,easy
DBP35,1007,5005,0.16812,-0.17863,easy
DBP35,2934,4621,0.073725,-0.100795,easy
DBP35,3816,5267,0.24248999999999998,-0.029725,easy
DBP35,8012,1619,-0.171805,0.026665,easy
DBP35,353,7788,-0.191495,0.032959999999999996,easy
DBP35,6796,7357,-0.080275,0.10997,easy
DBP35,4262,7286,-0.12803,0.190685,easy
DBP35,1103,2433,0.09811500000000001,-0.12204,easy
DBP35,3717,121,0.11655,-0.043055,easy
DBP35,2507,4730,0.095215,-0.050775,easy
DBP35,1766,6498,-0.14632499999999998,0.057515000000000004,easy
DBP35,5826,872,-0.11649,0.104175,easy
DBP35,4842,5854,0.15391,-0.087035,easy
DBP35,4061,7550,-0.057789999999999994,0.48199499999999995,easy
DBP35,6406,8191,0.0251,-0.13685,easy
DBP35,236,7019,0.18581,-0.037774999999999996,easy
DBP35,1111,2994,0.159045,-0.060629999999999996,easy
DBP35,6794,1536,-0.14455,0.05961,easy
DBP35,3295,6784,0.07778,-0.063915,easy
DBP35,2464,7610,-0.2276,0.08861,easy
DBP35,5036,5077,0.227675,-0.107945,easy
DBP35,3197,1583,0.025445000000000002,-0.13948,easy
DBP35,2244,1115,-0.23939500000000002,0.04363,easy
DBP35,1181,4445,0.156165,-0.031955,easy
DBP35,7997,6490,-0.099345,0.45888,easy
DBP35,2707,1423,-0.06569,0.082755,easy
DBP35,7189,6162,-0.124285,0.01507,easy
DBP35,2370,6740,0.113995,-0.07209499999999999,easy
DBP35,4841,4708,0.058820000000000004,-0.24655499999999997,easy
DBP35,955,6274,-0.08601500000000001,0.12883,easy
DBP35,677,474,0.12182499999999999,-0.0684,easy
DBP35,1262,1073,-0.067905,0.0942,easy
DBP35,4923,112,0.117345,-0.13493,easy
DBP35,3720,807,-0.05239,0.15968,easy
DBP35,4729,754,-0.144905,0.009134999999999999,easy
DBP35,4739,5495,-0.07678,0.36379,easy
DBP35,737,7133,-0.17029,0.087215,easy
DBP35,7069,664,0.097695,-0.08782999999999999,easy
DBP35,4062,1346,-0.05759499999999999,0.091575,easy
DBP35,3485,1369,0.03488,-0.10957,easy
DBP35,6811,6259,-0.12067,0.035214999999999996,easy
DBP35,6471,6566,0.13037,-0.15269,easy
DBP35,1218,6223,0.155395,-0.114785,easy
DBP35,2186,6654,-0.036574999999999996,0.14585,easy
DBP35,4708,413,-0.24655499999999997,0.042429999999999995,easy
DBP35,7824,3859,-0.072645,0.078315,easy
DBP35,1864,2111,0.082135,-0.15277000000000002,easy
DBP35,7097,2840,-0.08532000000000001,0.16954000000000002,easy
