dbp_id_i,dbp_id_j,embedding_cosine_similarity,embedding_euclidean_distance,sequence_identity,same_dbp
DBP1,DBP1,1.0000001192092896,0.0,1.0,True
DBP1,DBP3,0.916994571685791,1.6857900619506836,0.6379310344827587,False
DBP1,DBP35,0.8120709657669067,2.518723249435425,0.2063492063492064,False
DBP1,DBP48,0.7597365379333496,3.016193151473999,0.23076923076923073,False
DBP1,DBP5,0.8246287107467651,2.401958465576172,0.2222222222222222,False
DBP1,DBP6,0.832485020160675,2.629908561706543,0.2068965517241379,False
DBP1,DBP9,0.8456382155418396,2.500192642211914,0.24137931034482762,False
DBP3,DBP1,0.916994571685791,1.6857900619506836,0.6379310344827587,False
DBP3,DBP3,1.0,0.0,1.0,True
DBP3,DBP35,0.8219909071922302,2.407334327697754,0.2222222222222222,False
DBP3,DBP48,0.8245196342468262,2.560101270675659,0.2153846153846154,False
DBP3,DBP5,0.7675226330757141,2.7026493549346924,0.2063492063492064,False
DBP3,DBP6,0.6965678930282593,3.47579026222229,0.15517241379310343,False
DBP3,DBP9,0.732578456401825,3.2377688884735107,0.1724137931034483,False
DBP35,DBP1,0.8120709657669067,2.518723249435425,0.2063492063492064,False
DBP35,DBP3,0.8219909071922302,2.407334327697754,0.2222222222222222,False
DBP35,DBP35,1.0,0.0,1.0,True
DBP35,DBP48,0.9388066530227661,1.5546207427978516,0.32307692307692304,False
DBP35,DBP5,0.9556844234466553,1.1795092821121216,0.7301587301587302,False
DBP35,DBP6,0.8544552326202393,2.454329252243042,0.3492063492063492,False
DBP35,DBP9,0.8898182511329651,2.1314773559570312,0.39682539682539686,False
DBP48,DBP1,0.7597365379333496,3.016193151473999,0.23076923076923073,False
DBP48,DBP3,0.8245196342468262,2.560101270675659,0.2153846153846154,False
DBP48,DBP35,0.9388066530227661,1.5546207427978516,0.32307692307692304,False
DBP48,DBP48,1.0000001192092896,0.0,1.0,True
DBP48,DBP5,0.8691864013671875,2.2143731117248535,0.27692307692307694,False
DBP48,DBP6,0.8177913427352905,2.7871005535125732,0.4,False
DBP48,DBP9,0.8579499125480652,2.44173526763916,0.41538461538461535,False
DBP5,DBP1,0.8246287107467651,2.401958465576172,0.2222222222222222,False
DBP5,DBP3,0.7675226330757141,2.7026493549346924,0.2063492063492064,False
DBP5,DBP35,0.9556844234466553,1.1795092821121216,0.7301587301587302,False
DBP5,DBP48,0.8691864013671875,2.2143731117248535,0.27692307692307694,False
DBP5,DBP5,0.9999999403953552,0.0,1.0,True
DBP5,DBP6,0.9037719368934631,2.0662429332733154,0.3650793650793651,False
DBP5,DBP9,0.9146019816398621,1.9307533502578735,0.39682539682539686,False
DBP6,DBP1,0.832485020160675,2.629908561706543,0.2068965517241379,False
DBP6,DBP3,0.6965678930282593,3.47579026222229,0.15517241379310343,False
DBP6,DBP35,0.8544552326202393,2.454329252243042,0.3492063492063492,False
DBP6,DBP48,0.8177913427352905,2.7871005535125732,0.4,False
DBP6,DBP5,0.9037719368934631,2.0662429332733154,0.3650793650793651,False
DBP6,DBP6,0.9999999403953552,0.0,1.0,True
DBP6,DBP9,0.9910009503364563,0.6326344013214111,0.8214285714285714,False
DBP9,DBP1,0.8456382155418396,2.500192642211914,0.24137931034482762,False
DBP9,DBP3,0.732578456401825,3.2377688884735107,0.1724137931034483,False
DBP9,DBP35,0.8898182511329651,2.1314773559570312,0.39682539682539686,False
DBP9,DBP48,0.8579499125480652,2.44173526763916,0.41538461538461535,False
DBP9,DBP5,0.9146019816398621,1.9307533502578735,0.39682539682539686,False
DBP9,DBP6,0.9910009503364563,0.6326344013214111,0.8214285714285714,False
DBP9,DBP9,0.9999999403953552,0.0,1.0,True
